subject,trial,bw_025,bw_040,bw_100,bw_med,bw_lowvar,sd_025,sd_050,onset_jm,ttt_jm,onset_jm_nosmooth,ttt_jm_nosmooth,onset_bilalovski,ttt_bilalovski,onset_jumptest,ttt_jumptest,onset_sams_bw,ttt_sams_bw,onset_sams_30ms,ttt_sams_30ms,onset_pct10bw,ttt_pct10bw,onset_sd_minus_30ms,ttt_sd_minus_30ms,onset_chronojump,ttt_chronojump,takeoff_jm,takeoff_bilalovski,takeoff_jumptest,takeoff_labanalysis,takeoff_sams,n_lowforce_runs,longest_run_is_first,velocity_zero,min_force_before_peak,min_force_before_takeoff,uwend_argmin_v,uwend_argmin_v_s,uwend_f_cross_bw,uwend_f_cross_bw_s,uwend_argmin_f,uwend_argmin_f_s,uwend_argmin_f_to_takeoff,uwend_argmin_f_to_takeoff_s,ttt_accupower,jh_accupower_cm,rsi_accupower,jh_jm_cm,jh_jm_nosmooth_cm,jh_bilalovski_cm,jh_jumptest_cm,jh_sams_bw_cm,jh_sams_30ms_cm,jh_pct10bw_cm,jh_sd_minus_30ms_cm,jh_chronojump_cm,jh_jm_wholewindow_cm
1,1,586.2403736666668,585.9095249999999,587.1863215,585.7464,586.1902747500604,1.041603190378467,1.5585742443991457,4086,0.7741666666666667,4092,0.7691666666666667,646,3.640833333333333,4127,0.74,3996,0.8491666666666666,4047,0.8066666666666666,4153,0.7183333333333334,1026,3.3241666666666667,4097,0.765,5015,5007,5013,5011,5017,1,1,4719,4299,5014,4490,3.7416666666666667,4488,3.74,4299,3.5825,5014,4.178333333333334,0.74,37.92,0.51,41.30711723903689,41.325573085031806,41.092432821295894,41.554131416458894,41.21676513439558,41.246166613878835,41.99742395172507,40.10578737145865,41.34439907326793,41.90331864821882
1,2,585.261783,585.6561318750001,584.76203125,585.7464,584.2913944166526,7.983478925915968,5.778678245752455,4459,0.7508333333333334,4462,0.7483333333333333,4462,0.7483333333333333,4456,0.7533333333333333,4370,0.825,4388,0.81,4485,0.7291666666666666,4434,0.7716666666666666,4447,0.7608333333333334,5360,5353,5358,5356,5362,1,1,5067,4661,5359,4826,4.0216666666666665,4817,4.014166666666667,4661,3.8841666666666668,5359,4.465833333333333,0.75,43.17,0.58,43.648357087862266,43.68299951762774,43.68299951762774,43.61838669298786,43.39467055026852,43.411666505664556,44.112666837197736,43.49248309183823,43.55122652618999,45.30942975022504
1,3,585.9328196666667,585.8163274999999,586.0015508333333,585.7464,586.0015508333241,1.7360619368885493,1.4825010827363965,2278,0.9016666666666666,2295,0.8875,2295,0.8875,2291,0.8908333333333334,2244,0.93,2254,0.9216666666666666,2432,0.7733333333333333,2262,0.915,2429,0.7758333333333334,3360,3351,3358,3355,3363,1,1,3003,2597,3359,2764,2.3033333333333332,2763,2.3025,2597,2.1641666666666666,3359,2.799166666666667,0.89,41.63,0.47,42.95152050806234,42.98573446234825,42.98573446234825,42.97359060792771,42.9411126825341,42.94159369632429,44.6949140214321,42.94220935893654,44.623171847346086,41.768405815430704
1,4,584.8890066666667,585.268783125,585.028806,585.7464,585.4132455833218,2.6538530110304865,2.4226542249389555,1589,0.8183333333333334,1586,0.8208333333333333,1579,0.8266666666666667,1572,0.8325,1375,0.9966666666666667,1530,0.8675,1659,0.76,1558,0.8441666666666666,1594,0.8141666666666667,2571,2562,2568,2566,2573,1,1,2241,1815,2570,2000,1.6666666666666667,1997,1.6641666666666666,1815,1.5125,2570,2.1416666666666666,0.84,39.89,0.48,42.053663476399116,42.037553932484954,42.00369358856306,41.97384775887668,41.793893996746256,41.88230702712604,42.931010141807946,41.92789731490565,42.080805737201985,40.658554179987284
1,5,584.1713956666667,584.2727458333334,584.2191608333334,584.3485,584.2704217499963,1.086414516447496,1.102502150015071,1810,0.8866666666666667,1793,0.9008333333333334,1761,0.9275,1817,0.8808333333333334,1713,0.9675,1780,0.9116666666666666,1942,0.7766666666666666,1767,0.9225,1868,0.8383333333333334,2874,2865,2871,2869,2876,1,1,2516,2107,2873,2265,1.8875,2263,1.8858333333333333,2107,1.7558333333333334,2873,2.3941666666666666,0.87,42.06,0.48,42.63987814863949,42.599311047628255,42.5330660456469,42.657826586809406,42.48761315124568,42.57201455854877,43.85789574805044,42.54530299942396,42.8484494786696,42.25028779466631
1,6,583.95703,584.3251641666667,583.8044255,584.3485,583.6390004166583,1.4980194077848117,1.3069226251954322,4047,0.9141666666666667,4056,0.9066666666666666,2285,2.3825,4067,0.8975,3870,1.0616666666666668,4030,0.9283333333333333,4138,0.8383333333333334,4026,0.9316666666666666,4087,0.8808333333333334,5144,5135,5141,5139,5147,1,1,4774,4301,5143,4480,3.7333333333333334,4479,3.7325,4301,3.5841666666666665,5143,4.285833333333334,0.9,40.98,0.46,41.66372779801226,41.681399945394894,41.54224879342102,41.71444980978924,41.4072020998791,41.64163430815195,42.63267528880391,41.63742610543977,41.81947199381046,44.059184426795206
